Table,Attribute,Type,Description,references
immigration,arr_date,DATE,arrival date in date format,
immigration,arr_mode,INTEGER,"Mode of arrival air, sea, land or not reported.",arrival_mode.arrival_code
immigration,address,VARCHAR,two letter state code or 99 for null and everything else,region.region_code
immigration,dep_date,DATE,departure date ,
immigration,age_at_arr,INTEGER,Age of respondent in years,
immigration,visa_type,INTEGER,"visa codes collapsed into three catagories, 1=business, 2=Pleasure, 3=Student",visa_type.visa_code
immigration,count,INTEGER,contains 1. used for statisitics,
immigration,date_file,VARCHAR,date field. date record was filed,
immigration,visa_post,CHAR(3),where visa was issued,
immigration,occupation,CHAR(3),occupation that will be performed in US,
immigration,arrival_flag,CHAR(1),arrial flag - admitted or paroled in US,
immigration,departue_flag,CHAR(1),"departure flag - Departed, lost I-94 or is decesed",
immigration,update_flag,CHAR(1),"update flag - Eigher apprehended, overstayed, adjusted or permanent recidence",
immigration,match_flag,CHAR(1),match flag - Match of arrival and departure records,
immigration,birth_year,INTEGER,four digit birth year,
immigration,admission_date,DATE,date to which admitted to US (allowed to stay untill),
immigration,gender,CHAR(1),non-immigrant gender,gender.gender_code
immigration,ins_num,VARCHAR(20),INS number,
immigration,airline,VARCHAR(20),airline used to arrive in US,
immigration,admission_number,FLOAT,admission number,
immigration,flight_no,VARCHAR(20),flight number of the airline used to arrive in US,
immigration,visa_class,VARCHAR(10),class of admission leagally admitting the non-immigrant to temporarily stay in US,visa.visa_class
